time,temperature,humidity
2024-09-10 20:11:59.501708,22.1,59.3
2024-09-10 20:12:00.854781,None,None
2024-09-10 20:12:02.207615,None,None
2024-09-10 20:12:03.560459,22.1,59.4
2024-09-10 20:12:04.913427,None,None
2024-09-10 20:12:06.266408,None,None
2024-09-10 20:12:07.619211,22.1,59.4
2024-09-10 20:12:08.972105,None,None
2024-09-10 20:12:10.325802,None,None
2024-09-10 20:12:11.678694,22.1,59.4
2024-09-10 20:12:13.031531,None,None
2024-09-10 20:12:14.384394,22.1,59.4
2024-09-10 20:12:15.737292,None,None
2024-09-10 20:12:17.090297,None,None
2024-09-10 20:12:18.443080,22.1,59.4
2024-09-10 20:12:19.795909,22.1,59.4
2024-09-10 20:12:21.148900,22.1,59.4
2024-09-10 20:12:22.502849,22.1,59.4
2024-09-10 20:12:23.855740,None,None
2024-09-10 20:12:25.208583,22.1,59.4
2024-09-10 20:12:26.561512,22.1,59.3
2024-09-10 20:12:27.914594,None,None
2024-09-10 20:12:29.267399,22.1,59.1
2024-09-10 20:12:30.620282,22.1,59.1
2024-09-10 20:12:31.973114,None,None
2024-09-10 20:12:33.325961,22.1,59.0
2024-09-10 20:12:34.678837,None,None
2024-09-10 20:12:36.031743,None,None
2024-09-10 20:12:37.384561,22.1,58.9
2024-09-10 20:12:38.737336,None,None
2024-09-10 20:12:40.090449,22.1,58.9
2024-09-10 20:12:41.443727,22.1,58.9
2024-09-10 20:12:42.796483,22.1,58.9
2024-09-10 20:12:44.149395,None,None
2024-09-10 20:12:45.502330,None,None
2024-09-10 20:12:46.855291,None,None
2024-09-10 20:12:48.208005,22.1,58.8
2024-09-10 20:12:49.560803,None,None
2024-09-10 20:12:50.913586,22.1,58.9
2024-09-10 20:12:52.266511,None,None
2024-09-10 20:12:53.619210,22.1,58.9
2024-09-10 20:12:54.971971,None,None
2024-09-10 20:12:56.324682,22.1,58.9
2024-09-10 20:12:57.677654,22.1,58.9
2024-09-10 20:12:59.030422,22.1,58.9
2024-09-10 20:13:00.383632,22.1,59.0
2024-09-10 20:13:01.736623,22.1,59.0
2024-09-10 20:13:03.090000,None,None
2024-09-10 20:13:04.442794,None,None
2024-09-10 20:13:05.795782,22.1,59.1
2024-09-10 20:13:07.148739,22.1,59.2
2024-09-10 20:13:08.501949,None,None
2024-09-10 20:13:09.854675,22.1,59.2
2024-09-10 20:13:11.216728,22.2,59.3
2024-09-10 20:13:12.569803,22.2,59.3
2024-09-10 20:13:13.922941,None,None
2024-09-10 20:13:15.275998,None,None
2024-09-10 20:13:16.628789,22.1,59.4
2024-09-10 20:13:17.981584,22.1,59.4
2024-09-10 20:13:19.334502,None,None
2024-09-10 20:13:20.687239,None,None
2024-09-10 20:13:22.039957,None,None
2024-09-10 20:13:23.392708,22.2,59.3
2024-09-10 20:13:24.745682,22.2,59.2
2024-09-10 20:13:26.098468,None,None
2024-09-10 20:13:27.451235,22.2,59.1
2024-09-10 20:13:28.804019,22.2,59.0
2024-09-10 20:13:30.156983,None,None
2024-09-10 20:13:31.510018,22.1,58.9
2024-09-10 20:13:32.862792,22.2,58.8
2024-09-10 20:13:34.215648,22.1,58.8
2024-09-10 20:13:35.568542,None,None
2024-09-10 20:13:36.921493,22.2,58.7
2024-09-10 20:13:38.274387,None,None
2024-09-10 20:13:39.627177,None,None
2024-09-10 20:13:40.979981,22.1,58.7
2024-09-10 20:13:42.332906,None,None
2024-09-10 20:13:43.685776,22.2,58.6
2024-09-10 20:13:45.038806,None,None
2024-09-10 20:13:46.392202,22.2,58.7
2024-09-10 20:13:47.745146,None,None
2024-09-10 20:13:49.098123,22.2,58.8
2024-09-10 20:13:50.451227,None,None
2024-09-10 20:13:51.804050,None,None
2024-09-10 20:13:53.156970,None,None
2024-09-10 20:13:54.509849,None,None
2024-09-10 20:13:55.862714,22.2,58.7
2024-09-10 20:13:57.215560,22.2,58.8
2024-09-10 20:13:58.568431,22.2,58.8
2024-09-10 20:13:59.921331,22.2,58.8
2024-09-10 20:14:01.274313,22.2,58.9
2024-09-10 20:14:02.627130,22.2,58.9
2024-09-10 20:14:03.979913,22.2,58.9
2024-09-10 20:14:05.334175,None,None
2024-09-10 20:14:06.687082,22.2,58.9
2024-09-10 20:14:08.040015,None,None
2024-09-10 20:14:09.392858,22.2,58.9
2024-09-10 20:14:10.745863,None,None
2024-09-10 20:14:12.098896,None,None
2024-09-10 20:14:13.451732,None,None
2024-09-10 20:14:14.804567,22.2,58.7
2024-09-10 20:14:16.157788,None,None
2024-09-10 20:14:17.510813,None,None
2024-09-10 20:14:18.863590,22.2,58.9
2024-09-10 20:14:20.216513,22.2,58.9
2024-09-10 20:14:21.569456,22.2,58.9
2024-09-10 20:14:22.922428,None,None
2024-09-10 20:14:24.275257,22.2,59.1
2024-09-10 20:14:25.628075,22.2,59.1
2024-09-10 20:14:26.980999,22.2,59.1
2024-09-10 20:14:28.334056,None,None
2024-09-10 20:14:29.686916,22.2,59.1
2024-09-10 20:14:31.039780,None,None
2024-09-10 20:14:32.392640,22.2,59.1
2024-09-10 20:14:33.745618,22.2,59.0
2024-09-10 20:14:35.098652,22.2,59.1
2024-09-10 20:14:36.452909,None,None
2024-09-10 20:14:37.805779,None,None
2024-09-10 20:14:39.158740,None,None
2024-09-10 20:14:40.511534,22.2,59.1
2024-09-10 20:14:41.864435,22.2,59.1
2024-09-10 20:14:43.217393,22.2,59.0
2024-09-10 20:14:44.576558,22.2,59.0
2024-09-10 20:14:45.929510,22.2,59.0
2024-09-10 20:14:47.282432,None,None
2024-09-10 20:14:48.635230,22.2,58.9
2024-09-10 20:14:49.988117,None,None
2024-09-10 20:14:51.340981,None,None
2024-09-10 20:14:52.693859,22.2,58.7
2024-09-10 20:14:54.046778,None,None
2024-09-10 20:14:55.399708,None,None
